    0.26576E-02    0.96514E+04
    0.27113E-02    0.98136E+04
    0.27660E-02    0.99779E+04
    0.28219E-02    0.10144E+05
    0.28789E-02    0.10313E+05
    0.29371E-02    0.10483E+05
    0.29964E-02    0.10656E+05
    0.30569E-02    0.10831E+05
    0.31187E-02    0.11007E+05
    0.31817E-02    0.11186E+05
    0.32460E-02    0.11367E+05
    0.33115E-02    0.11550E+05
    0.33784E-02    0.11735E+05
    0.34467E-02    0.11922E+05
    0.35163E-02    0.12110E+05
    0.35874E-02    0.12301E+05
    0.36598E-02    0.12494E+05
    0.37338E-02    0.12689E+05
    0.38092E-02    0.12885E+05
    0.38861E-02    0.13083E+05
    0.39646E-02    0.13284E+05
    0.40447E-02    0.13485E+05
    0.41264E-02    0.13689E+05
    0.42098E-02    0.13895E+05
    0.42948E-02    0.14102E+05
    0.43816E-02    0.14310E+05
    0.44701E-02    0.14521E+05
    0.45604E-02    0.14732E+05
    0.46525E-02    0.14946E+05
    0.47465E-02    0.15160E+05
    0.48424E-02    0.15376E+05
    0.49402E-02    0.15593E+05
    0.50400E-02    0.15812E+05
    0.51419E-02    0.16032E+05
    0.52457E-02    0.16252E+05
    0.53517E-02    0.16474E+05
    0.54598E-02    0.16697E+05
    0.55701E-02    0.16920E+05
    0.56826E-02    0.17145E+05
    0.57974E-02    0.17369E+05
    0.59145E-02    0.17595E+05
    0.60340E-02    0.17821E+05
    0.61559E-02    0.18047E+05
    0.62803E-02    0.18274E+05
    0.64072E-02    0.18500E+05
    0.65366E-02    0.18727E+05
    0.66686E-02    0.18953E+05
    0.68033E-02    0.19180E+05
    0.69408E-02    0.19405E+05
    0.70810E-02    0.19631E+05
    0.72240E-02    0.19856E+05
    0.73700E-02    0.20080E+05
    0.75189E-02    0.20303E+05
    0.76708E-02    0.20524E+05
    0.78257E-02    0.20745E+05
    0.79838E-02    0.20964E+05
    0.81451E-02    0.21182E+05
    0.83096E-02    0.21398E+05
    0.84775E-02    0.21612E+05
    0.86488E-02    0.21823E+05
    0.88235E-02    0.22033E+05
    0.90017E-02    0.22239E+05
    0.91836E-02    0.22444E+05
    0.93691E-02    0.22645E+05
    0.95583E-02    0.22843E+05
    0.97514E-02    0.23037E+05
    0.99484E-02    0.23228E+05
    0.10149E-01    0.23415E+05
    0.10354E-01    0.23598E+05
    0.10564E-01    0.23777E+05
    0.10777E-01    0.23951E+05
    0.10995E-01    0.24120E+05
    0.11217E-01    0.24284E+05
    0.11443E-01    0.24443E+05
    0.11675E-01    0.24596E+05
    0.11910E-01    0.24744E+05
    0.12151E-01    0.24885E+05
    0.12397E-01    0.25020E+05
    0.12647E-01    0.25148E+05
    0.12902E-01    0.25269E+05
    0.13163E-01    0.25383E+05
    0.13429E-01    0.25490E+05
    0.13700E-01    0.25588E+05
    0.13977E-01    0.25679E+05
    0.14259E-01    0.25761E+05
    0.14547E-01    0.25834E+05
    0.14841E-01    0.25899E+05
    0.15141E-01    0.25954E+05
    0.15447E-01    0.26000E+05
    0.15759E-01    0.26035E+05
    0.16077E-01    0.26061E+05
    0.16402E-01    0.26077E+05
    0.16734E-01    0.26082E+05
    0.17072E-01    0.26076E+05
    0.17416E-01    0.26059E+05
    0.17768E-01    0.26031E+05
    0.18127E-01    0.25991E+05
    0.18493E-01    0.25940E+05
    0.18867E-01    0.25877E+05
    0.19248E-01    0.25802E+05
    0.19637E-01    0.25715E+05
    0.20034E-01    0.25615E+05
    0.20438E-01    0.25504E+05
    0.20851E-01    0.25380E+05
    0.21272E-01    0.25243E+05
    0.21702E-01    0.25094E+05
    0.22141E-01    0.24933E+05
    0.22588E-01    0.24760E+05
    0.23044E-01    0.24574E+05
    0.23510E-01    0.24376E+05
    0.23985E-01    0.24167E+05
    0.24469E-01    0.23945E+05
    0.24964E-01    0.23713E+05
    0.25468E-01    0.23469E+05
    0.25982E-01    0.23215E+05
    0.26507E-01    0.22950E+05
    0.27043E-01    0.22675E+05
    0.27589E-01    0.22391E+05
    0.28146E-01    0.22098E+05
    0.28715E-01    0.21797E+05
    0.29295E-01    0.21489E+05
    0.29887E-01    0.21173E+05
    0.30490E-01    0.20851E+05
    0.31106E-01    0.20524E+05
    0.31735E-01    0.20192E+05
    0.32376E-01    0.19856E+05
    0.33030E-01    0.19517E+05
    0.33697E-01    0.19176E+05
    0.34378E-01    0.18834E+05
    0.35072E-01    0.18491E+05
    0.35781E-01    0.18150E+05
    0.36504E-01    0.17809E+05
    0.37241E-01    0.17472E+05
    0.37993E-01    0.17138E+05
    0.38761E-01    0.16808E+05
    0.39544E-01    0.16483E+05
    0.40343E-01    0.16164E+05
