  0.285830E-04  0.199009E+08  0.199009E+08  0.264299E+08  0.264298E+08  0.000000E+00  0.199009E+08
  0.291604E-04  0.199009E+08  0.199009E+08  0.264257E+08  0.264255E+08  0.000000E+00  0.199009E+08
  0.297495E-04  0.199009E+08  0.199009E+08  0.264212E+08  0.264211E+08  0.000000E+00  0.199009E+08
  0.303505E-04  0.199009E+08  0.199009E+08  0.264166E+08  0.264164E+08  0.000000E+00  0.199009E+08
  0.309636E-04  0.199009E+08  0.199009E+08  0.264118E+08  0.264116E+08  0.000000E+00  0.199009E+08
  0.315891E-04  0.199009E+08  0.199009E+08  0.264068E+08  0.264066E+08  0.000000E+00  0.199009E+08
  0.322273E-04  0.199009E+08  0.199009E+08  0.264016E+08  0.264014E+08  0.000000E+00  0.199009E+08
  0.328783E-04  0.199008E+08  0.199008E+08  0.263961E+08  0.263959E+08  0.000000E+00  0.199008E+08
  0.335425E-04  0.199008E+08  0.199008E+08  0.263905E+08  0.263903E+08  0.000000E+00  0.199008E+08
  0.342201E-04  0.199008E+08  0.199008E+08  0.263846E+08  0.263844E+08  0.000000E+00  0.199008E+08
  0.349114E-04  0.199008E+08  0.199008E+08  0.263785E+08  0.263783E+08  0.000000E+00  0.199008E+08
  0.356166E-04  0.199008E+08  0.199008E+08  0.263721E+08  0.263719E+08  0.000000E+00  0.199008E+08
  0.363361E-04  0.199008E+08  0.199008E+08  0.263655E+08  0.263653E+08  0.000000E+00  0.199008E+08
  0.370702E-04  0.199008E+08  0.199008E+08  0.263586E+08  0.263584E+08  0.000000E+00  0.199008E+08
  0.378190E-04  0.199008E+08  0.199008E+08  0.263515E+08  0.263512E+08  0.000000E+00  0.199008E+08
  0.385830E-04  0.199007E+08  0.199007E+08  0.263440E+08  0.263437E+08  0.000000E+00  0.199007E+08
  0.393625E-04  0.199007E+08  0.199007E+08  0.263362E+08  0.263360E+08  0.000000E+00  0.199007E+08
  0.401576E-04  0.199007E+08  0.199007E+08  0.263282E+08  0.263279E+08  0.000000E+00  0.199007E+08
  0.409689E-04  0.199007E+08  0.199007E+08  0.263198E+08  0.263195E+08  0.000000E+00  0.199007E+08
  0.417965E-04  0.199007E+08  0.199007E+08  0.263110E+08  0.263107E+08  0.000000E+00  0.199007E+08
  0.426409E-04  0.199007E+08  0.199007E+08  0.263019E+08  0.263016E+08  0.000000E+00  0.199007E+08
  0.435023E-04  0.199006E+08  0.199006E+08  0.262925E+08  0.262921E+08  0.000000E+00  0.199006E+08
  0.443811E-04  0.199006E+08  0.199006E+08  0.262826E+08  0.262823E+08  0.000000E+00  0.199006E+08
  0.452776E-04  0.199006E+08  0.199006E+08  0.262724E+08  0.262720E+08  0.000000E+00  0.199006E+08
  0.461923E-04  0.199006E+08  0.199006E+08  0.262617E+08  0.262613E+08  0.000000E+00  0.199006E+08
  0.471254E-04  0.199006E+08  0.199006E+08  0.262506E+08  0.262502E+08  0.000000E+00  0.199006E+08
  0.480774E-04  0.199005E+08  0.199005E+08  0.262391E+08  0.262387E+08  0.000000E+00  0.199005E+08
